birdie,bogey,dbl,driveAcc,driveYards,eagle,gir,ip,name,pars,ppgGir,toPar,year
13,5,1,75,282.6,0,61.1,T24,Jason Dufner,51,1.795,E,2012
9,11,0,67.9,265.6,1,55.6,T24,Mark Wilson,51,1.775,E,2012
13,11,1,69.6,293.6,0,58.3,T24,Chad Campbell,47,1.714,E,2012
15,13,1,60.7,275.8,0,52.8,T24,Cameron Beckman,43,1.658,E,2012
18,14,3,66.1,268.8,1,58.3,T24,Bob Estes,36,1.619,E,2012
10,11,1,73.2,273.4,1,63.9,T29,Brendon de Jonge,49,1.826,+1,2012
14,8,2,69.6,279.3,0,62.5,T29,Stephen Ames,47,1.800,+1,2012
14,15,0,69.6,273.4,0,55.6,T29,Charles Howell III,43,1.700,+1,2012
14,11,2,64.3,290.3,0,51.4,T29,Kevin Chappell,45,1.703,+1,2012
16,11,3,67.9,275.9,0,61.1,T29,Lee Janzen,42,1.727,+1,2012
10,11,0,78.6,262.4,0,50,T29,Jerry Kelly,51,1.750,+1,2012
11,12,1,62.5,285.3,1,59.7,T29,Trevor Immelman,47,1.814,+1,2012
14,12,0,82.1,291.9,0,61.1,T29,Geoff Ogilvy,45,1.773,+1,2012
10,8,2,73.2,282.6,0,55.6,T37,J.J. Henry,52,1.850,+2,2012
13,15,0,69.6,262,0,59.7,T37,Heath Slocum,44,1.744,+2,2012
9,7,2,67.9,271.1,0,58.3,T37,Luke Donald,54,1.857,+2,2012
12,12,1,82.1,269.2,0,58.3,T37,John Mallinger,47,1.786,+2,2012
10,12,0,50,281.2,0,51.4,T37,Spencer Levin,50,1.757,+2,2012
9,7,3,73.2,264.2,1,62.5,T37,Tim Clark,52,1.778,+2,2012
11,6,2,67.9,286.6,0,54.2,T37,Bud Cauley,52,1.821,+2,2012
12,11,2,64.3,275.9,0,50,T44,Jeff Maggert,47,1.694,+3,2012
15,14,2,64.3,263,0,52.8,T44,Jason Bohn,41,1.711,+3,2012
13,18,0,58.9,272.2,1,54.2,T44,Michael Bradley,40,1.692,+3,2012
13,14,1,67.9,269.7,0,56.9,T44,Tom Gillis,44,1.683,+3,2012
10,9,2,53.6,284.7,0,59.7,T44,Marc Leishman,51,1.837,+3,2012
10,11,2,57.1,293.7,1,54.2,T44,Graham DeLaet,48,1.769,+3,2012
14,15,1,73.2,277.1,0,58.3,T44,Matt Kuchar,42,1.762,+3,2012
