fedExPoints,name,r1,r2,r3,r4,rank,score,total,year
--,Fabian Gomez,74,67,--,--,-,CUT,144,2011
--,Jason Kokrak,71,63,--,--,-,CUT,144,2018
--,James Driscoll,74,67,76,--,T88,+7,220,2013
--,Chad Campbell,74,64,--,--,-,CUT,144,2015
--,Steve Marino,71,67,--,--,-,CUT,145,2011
--,Grayson Murray,74,63,--,--,-,CUT,144,2018
--,Hunter Mahan,68,67,78,--,91,+9,222,2013
--,Kenny Perry,75,64,--,--,-,CUT,144,2015
--,William McGirt,70,67,--,--,-,CUT,145,2011
--,Bob Estes,74,63,--,--,-,CUT,144,2018
--,Steve Marino,73,67,--,--,-,CUT,145,2013
--,Ken Duke,72,64,--,--,-,CUT,144,2015
--,Michael Putnam,72,67,--,--,-,CUT,145,2011
--,Ryan Blaum,74,63,--,--,-,CUT,144,2018
--,Harris English,70,67,--,--,-,CUT,145,2013
--,Seung-yul Noh,73,64,--,--,-,CUT,144,2015
--,Charles Howell III,72,67,--,--,-,CUT,145,2011
--,Chris Stroud,73,63,--,--,-,CUT,144,2018
--,Steven Bowditch,74,67,--,--,-,CUT,145,2013
--,Johnson Wagner,69,64,--,--,-,CUT,144,2015
--,Lucas Glover,73,67,--,--,-,CUT,145,2011
--,Robert Streb,73,63,--,--,-,CUT,144,2018
--,Scott Stallings,75,67,--,--,-,CUT,145,2013
--,Jonas Blixt,72,64,--,--,-,CUT,144,2015
--,Zach Johnson,73,67,--,--,-,CUT,145,2011
--,Blayne Barber,74,63,--,--,-,CUT,144,2018
--,Brian Stuard,75,67,--,--,-,CUT,145,2013
--,Ernie Els,71,64,--,--,-,CUT,144,2015
--,Marc Leishman,72,67,--,--,-,CUT,145,2011
--,Sam Saunders,70,63,--,--,-,CUT,144,2018
--,Alistair Presnell,73,67,--,--,-,CUT,145,2013
--,Justin Leonard,73,64,--,--,-,CUT,145,2015
--,Scott Stallings,70,67,--,--,-,CUT,145,2011
--,Ross Fisher,77,63,--,--,-,CUT,144,2018
--,Bryce Molder,73,67,--,--,-,CUT,146,2013
--,Tim Wilkinson,75,64,--,--,-,CUT,145,2015
--,Charles Warren,70,67,--,--,-,CUT,145,2011
--,Mackenzie Hughes,72,63,--,--,-,CUT,144,2018
--,Vijay Singh,73,67,--,--,-,CUT,146,2013
--,Andrew Svoboda,77,64,--,--,-,CUT,145,2015
--,Glen Day,73,67,--,--,-,CUT,146,2011
--,Richy Werenski,71,63,--,--,-,CUT,145,2018
--,Luke Guthrie,72,67,--,--,-,CUT,146,2013
--,Derek Fathauer,74,64,--,--,-,CUT,145,2015
--,Bill Lunde,77,67,--,--,-,CUT,146,2011
--,Hudson Swafford,75,63,--,--,-,CUT,145,2018
--,Michael Thompson,72,67,--,--,-,CUT,146,2013
--,Mark Wilson,74,64,--,--,-,CUT,145,2015
--,Cameron Tringale,74,67,--,--,-,CUT,146,2011
--,Colt Knost,72,63,--,--,-,CUT,145,2018
--,Kevin Chappell,72,67,--,--,-,CUT,146,2013
--,D.A. Points,73,64,--,--,-,CUT,145,2015
--,Keegan Bradley,74,67,--,--,-,CUT,146,2011
--,Philip Knowles (a),71,63,--,--,-,CUT,145,2018
--,Daniel Summerhays,71,67,--,--,-,CUT,146,2013
--,Michael Thompson,74,64,--,--,-,CUT,145,2015
--,Richard S. Johnson,72,67,--,--,-,CUT,146,2011
--,Corey Conners,74,63,--,--,-,CUT,145,2018
--,Kyle Stanley,73,67,--,--,-,CUT,146,2013
--,Jonathan Byrd,76,64,--,--,-,CUT,145,2015
--,Francesco Molinari,72,67,--,--,-,CUT,146,2011
--,D.A. Points,72,63,--,--,-,CUT,145,2018
--,Ernie Els,73,67,--,--,-,CUT,146,2013
--,Billy Hurley III,75,64,--,--,-,CUT,145,2015
--,Zack Miller,74,67,--,--,-,CUT,146,2011
--,Sean O'Hair,71,63,--,--,-,CUT,145,2018
--,Charles Howell III,74,67,--,--,-,CUT,146,2013
--,Gonzalo Fernandez-Castano,77,64,--,--,-,CUT,145,2015
--,Dean Wilson,76,67,--,--,-,CUT,146,2011
--,Billy Hurley III,74,63,--,--,-,CUT,145,2018
--,Erik Compton,70,67,--,--,-,CUT,146,2013
--,Spencer Levin,72,64,--,--,-,CUT,145,2015
--,Tag Ridings,69,67,--,--,-,CUT,147,2011
--,Brandon Harkins,76,63,--,--,-,CUT,146,2018
--,Hunter Haas,71,67,--,--,-,CUT,147,2013
--,Graham DeLaet,69,64,--,--,-,CUT,145,2015
--,Henrik Stenson,79,67,--,--,-,CUT,147,2011
--,Glen Day,77,63,--,--,-,CUT,146,2018
--,Dicky Pride,73,67,--,--,-,CUT,147,2013
--,Patrick Reed,71,64,--,--,-,CUT,145,2015
--,Stuart Appleby,73,67,--,--,-,CUT,147,2011
--,Charl Schwartzel,79,63,--,--,-,CUT,146,2018
--,Scott Verplank,76,67,--,--,-,CUT,147,2013
--,Cameron Tringale,72,64,--,--,-,CUT,145,2015
--,Sean O'Hair,70,67,--,--,-,CUT,147,2011
--,Nick Taylor,73,63,--,--,-,CUT,146,2018
--,David Lynn,72,67,--,--,-,CUT,147,2013
--,Thongchai Jaidee,72,64,--,--,-,CUT,146,2015
--,Justin Leonard,76,67,--,--,-,CUT,147,2011
--,Paul Casey,75,63,--,--,-,CUT,146,2018
--,Stephen Ames,74,67,--,--,-,CUT,147,2013
--,K.J. Choi,74,64,--,--,-,CUT,146,2015
--,Chris Epperson,76,67,--,--,-,CUT,147,2011
--,Tyrrell Hatton,75,63,--,--,-,CUT,146,2018
--,Charlie Wi,72,67,--,--,-,CUT,147,2013
--,Richard Sterne,71,64,--,--,-,CUT,146,2015
--,Cameron Beckman,72,67,--,--,-,CUT,147,2011
--,Anirban Lahiri,72,63,--,--,-,CUT,146,2018
--,Morgan Hoffmann,71,67,--,--,-,CUT,147,2013
--,Corey Conners,77,64,--,--,-,CUT,147,2015
--,Rickie Fowler,74,67,--,--,-,CUT,147,2011
--,Sam Ryder,71,63,--,--,-,CUT,147,2018
--,Graham DeLaet,74,67,--,--,-,CUT,147,2013
--,Chesson Hadley,73,64,--,--,-,CUT,147,2015
--,Kyle Stanley,74,67,--,--,-,CUT,147,2011
--,Cody Gribble,75,63,--,--,-,CUT,148,2018
--,John Rollins,73,67,--,--,-,CUT,148,2013
--,Nicholas Thompson,73,64,--,--,-,CUT,148,2015
--,Derek Lamely,73,67,--,--,-,CUT,148,2011
--,Carl Pettersson,75,63,--,--,-,CUT,148,2018
--,Colt Knost,75,67,--,--,-,CUT,148,2013
--,Zach Johnson,73,64,--,--,-,CUT,148,2015
--,Sam Saunders,74,67,--,--,-,CUT,148,2011
--,Jeff Maggert,76,63,--,--,-,CUT,148,2018
--,Chad Campbell,70,67,--,--,-,CUT,148,2013
--,Charles Howell III,75,64,--,--,-,CUT,148,2015
--,Fred Funk,76,67,--,--,-,CUT,148,2011
--,Martin Flores,75,63,--,--,-,CUT,149,2018
--,Bud Cauley,78,67,--,--,-,CUT,148,2013
--,Woody Austin,75,64,--,--,-,CUT,148,2015
--,Davis Love III,76,67,--,--,-,CUT,149,2011
--,Geoff Ogilvy,73,63,--,--,-,CUT,149,2018
--,David Mathis,71,67,--,--,-,CUT,148,2013
--,Jeff Maggert,75,64,--,--,-,CUT,148,2015
--,Mark Anderson,71,67,--,--,-,CUT,149,2011
--,Jon Curran,78,63,--,--,-,CUT,149,2018
--,John Mallinger,73,67,--,--,-,CUT,148,2013
--,John Huh,77,64,--,--,-,CUT,148,2015
--,Mike Weir,78,67,--,--,-,CUT,150,2011
--,James Hahn,75,63,--,--,-,CUT,150,2018
--,Shawn Stefani,70,67,--,--,-,CUT,148,2013
--,Robert Garrigus,76,64,--,--,-,CUT,149,2015
--,Bobby Gates,77,67,--,--,-,CUT,151,2011
--,Vaughn Taylor,75,63,--,--,-,CUT,151,2018
--,Lucas Glover,70,67,--,--,-,CUT,149,2013
--,Chez Reavie,77,64,--,--,-,CUT,149,2015
--,Michael Thompson,80,67,--,--,-,CUT,151,2011
--,Chad Campbell,76,63,--,--,-,CUT,151,2018
--,Robert Allenby,76,67,--,--,-,CUT,149,2013
--,Michael Putnam,73,64,--,--,-,CUT,149,2015
--,Shaun Micheel,77,67,--,--,-,CUT,151,2011
--,Greg Chalmers,76,63,--,--,-,CUT,152,2018
--,Doug LaBelle II,78,67,--,--,-,CUT,149,2013
--,John Faidley,77,64,--,--,-,CUT,149,2015
--,Jeff Maggert,77,67,--,--,-,CUT,152,2011
--,David Hearn,81,63,--,--,-,CUT,152,2018
--,Joey Snyder III,75,67,--,--,-,CUT,149,2013
--,Scott Verplank,77,64,--,--,-,CUT,149,2015
--,Ernie Els,75,67,--,--,-,CUT,153,2011
--,Sung Kang,74,63,--,--,-,CUT,153,2018
--,Scott Gardiner,75,67,--,--,-,CUT,150,2013
--,Mike Weir,74,64,--,--,-,CUT,156,2015
--,Peter Hanson,76,67,--,--,-,CUT,154,2011
--,Steve Scott,80,63,--,--,-,CUT,153,2018
--,Seung-yul Noh,75,67,--,--,-,CUT,150,2013
--,Camilo Villegas,--,64,--,--,-,WD,--,2015
--,Jeff Peck,81,67,--,--,-,CUT,155,2011
--,Derek Fathauer,81,63,--,--,-,CUT,157,2018
--,Jamie Donaldson,74,67,--,--,-,CUT,150,2013
--,Roland Thatcher,84,67,--,--,-,CUT,159,2011
--,Chris Couch,79,63,--,--,-,WD,79,2018
--,Roberto Castro,74,67,--,--,-,CUT,150,2013
--,Jesper Parnevik,72,67,--,--,-,WD,72,2011
--,Richard Sterne,77,67,--,--,-,CUT,150,2013
--,Rocco Mediate,77,67,--,--,-,WD,77,2011
--,Robert Streb,77,67,--,--,-,CUT,151,2013
--,Ross Fisher,77,67,--,--,-,CUT,151,2013
--,Sean O'Hair,79,67,--,--,-,CUT,151,2013
--,John Daly,71,67,--,--,-,CUT,152,2013
--,David Lingmerth,75,67,--,--,-,CUT,152,2013
--,Ben Kohles,73,67,--,--,-,CUT,152,2013
--,Daniel Nisbet,76,67,--,--,-,CUT,155,2013
--,Tag Ridings,85,67,--,--,-,CUT,157,2013
--,Matt Bova,78,67,--,--,-,CUT,159,2013
--,Luke List,71,67,--,--,-,WD,71,2013
--,Peter Hanson,74,67,--,--,-,WD,74,2013
--,Greg Chalmers,76,67,--,--,-,WD,76,2013
--,Fabian Gomez,77,67,--,--,-,WD,77,2013
