fedExPoints,name,r1,r2,r3,r4,rank,score,total,year
76,Jim Furyk,68,67,69,76,T21,-5,279,2011
73,Matt Kuchar,66,63,69,73,T23,-6,278,2018
71,Stewart Cink,70,67,73,71,T24,-1,283,2013
69,Bill Haas,71,64,68,69,T31,-6,278,2015
70,Matt Kuchar,68,67,69,70,T21,-5,279,2011
74,Rory Sabbatini,64,63,70,74,T23,-6,278,2018
72,Robert Garrigus,70,67,70,72,T24,-1,283,2013
69,William McGirt,71,64,68,69,T31,-6,278,2015
65,Bio Kim,71,67,74,65,T21,-5,279,2011
76,C.T. Pan,70,63,67,76,T23,-6,278,2018
76,Tim Clark,68,67,68,76,T24,-1,283,2013
70,Stewart Cink,70,64,71,70,T31,-6,278,2015
69,Billy Mayfair,70,67,73,69,T30,-4,280,2011
70,Rod Pampling,72,63,67,70,T32,-5,279,2018
70,Bob Estes,70,67,71,70,T30,E,284,2013
68,Alex Cejka,70,64,69,68,T31,-6,278,2015
71,Carl Pettersson,71,67,69,71,T30,-4,280,2011
69,Nick Watney,68,63,70,69,T32,-5,279,2018
73,Jason Day,67,67,71,73,T30,E,284,2013
69,Martin Flores,73,64,69,69,T31,-6,278,2015
71,J.P. Hayes,70,67,72,71,T30,-4,280,2011
72,Xander Schauffele,68,63,71,72,T32,-5,279,2018
74,Brian Davis,65,67,70,74,T30,E,284,2013
68,Joost Luiten,69,64,70,68,T31,-6,278,2015
70,Ryuji Imada,70,67,69,70,T30,-4,280,2011
69,Cameron Smith,68,63,74,69,T32,-5,279,2018
72,Chris Kirk,73,67,70,72,T30,E,284,2013
71,Ben Martin,69,64,70,71,T37,-5,279,2015
67,Stewart Cink,72,67,73,67,T30,-4,280,2011
72,Dylan Frittelli,72,63,67,72,T32,-5,279,2018
74,Matt Jones,75,67,68,74,T30,E,284,2013
72,Jason Dufner,74,64,66,72,T37,-5,279,2015
71,Bill Haas,70,67,69,71,T30,-4,280,2011
73,Martin Laird,67,63,70,73,T32,-5,279,2018
77,Stuart Appleby,70,67,70,77,T35,+1,285,2013
67,Scott Brown,74,64,71,67,T37,-5,279,2015
72,Kevin Streelman,73,67,67,72,T36,-3,281,2011
73,Lucas Glover,74,63,67,73,T32,-5,279,2018
70,Carl Pettersson,68,67,72,70,T35,+1,285,2013
69,Sang-Moon Bae,67,64,70,69,T37,-5,279,2015
67,Jason Bohn,73,67,72,67,T36,-3,281,2011
65,Harris English,67,63,74,65,T32,-5,279,2018
71,Ted Potter Jr.,68,67,75,71,T35,+1,285,2013
70,Freddie Jacobson,71,64,70,70,T37,-5,279,2015
67,Robert Garrigus,68,67,76,67,T36,-3,281,2011
70,Russell Knox,70,63,68,70,T40,-4,280,2018
75,James Hahn,71,67,66,75,T35,+1,285,2013
68,Ricky Barnes,69,64,70,68,T37,-5,279,2015
71,Ian Poulter,69,67,75,71,T36,-3,281,2011
66,Dominic Bozzelli,70,63,72,66,T40,-4,280,2018
70,Jason Dufner,71,67,75,70,T35,+1,285,2013
68,Ben Crane,72,64,72,68,T37,-5,279,2015
72,Brian Gay,66,67,70,72,T36,-3,281,2011
71,Ollie Schniederjans,73,63,68,71,T42,-3,281,2018
