age,driveAcc,driveTotal,gir,name,puttAvg,rank,savePCT,yardPerDrive
Hunter Mahan,294.5,63.9,79,Hunter Mahan,64.6,38,1.802,36
Brandon Hagy,312.7,63.9,3,Brandon Hagy,64.5,39,1.787,--
Kevin Na,283.7,63.9,158,Kevin Na,65.5,40,1.755,35
Ben Crane,281.1,67.5,0,Ben Crane,64.9,1,1.762,43
Louis Oosthuizen,299.5,67.5,0,Louis Oosthuizen,66.0,2,1.798,36
Webb Simpson,293.6,67.5,0,Webb Simpson,68.1,3,1.738,33
Matt Kuchar,287.8,67.5,0,Matt Kuchar,67.2,4,1.759,40
Whee Kim,285.8,67.5,0,Whee Kim,63.5,5,1.744,27
Zac Blair,279.5,67.5,0,Zac Blair,66.5,6,1.758,--
Kevin Na,289.6,67.5,0,Kevin Na,64.7,7,1.722,35
Justin Rose,303.7,67.5,0,Justin Rose,70.4,8,1.723,38
Seamus Power,302.6,67.5,0,Seamus Power,65.2,9,1.778,32
Jason Day,309.7,67.5,0,Jason Day,66.0,31,1.712,31
Rickie Fowler,300.6,67.5,0,Rickie Fowler,69.8,11,1.740,30
Rory Sabbatini,292.3,67.5,0,Rory Sabbatini,67.9,12,1.776,43
Rob Oppenheim,285.2,67.5,0,Rob Oppenheim,64.1,13,1.769,--
Phil Mickelson,300.7,67.5,0,Phil Mickelson,65.0,14,1.693,48
Alex Cejka,286.7,67.5,0,Alex Cejka,63.8,15,1.756,48
Ben Martin,289.6,67.5,0,Ben Martin,64.0,16,1.745,31
D.A. Points,280.8,67.5,0,D.A. Points,60.2,17,1.778,42
Jonathan Byrd,291.7,67.5,0,Jonathan Byrd,68.2,18,1.779,41
Patrick Reed,298.3,67.5,0,Patrick Reed,63.5,19,1.744,28
Henrik Stenson,291.1,67.5,0,Henrik Stenson,74.3,20,1.797,43
Cameron Smith,298.5,67.5,0,Cameron Smith,63.7,21,1.741,25
Brandt Snedeker,293.0,67.5,0,Brandt Snedeker,65.7,22,1.738,38
Scott Stallings,299.7,67.5,0,Scott Stallings,65.9,23,1.787,34
Peter Malnati,290.9,67.5,0,Peter Malnati,63.0,31,1.723,31
Peter Uihlein,302.0,67.5,0,Peter Uihlein,68.2,25,1.780,29
Aaron Baddeley,295.5,67.5,0,Aaron Baddeley,63.4,26,1.775,38
Rafael Cabrera Bello,294.8,67.5,0,Rafael Cabrera Bello,71.0,27,1.763,34
Emiliano Grillo,294.8,67.5,0,Emiliano Grillo,69.2,28,1.752,26
Charles Howell III,300.6,67.5,0,Charles Howell III,69.8,29,1.781,39
Bill Haas,296.3,67.5,0,Bill Haas,65.5,30,1.807,36
